Όνομα;Κατηγορία;Ποσό;Ημερομηνία;Email;Κατάσταση
Νεφέλη;Ρεύμα;40;12/11/2025;nefeli.vaspats@gmail.com;
Νεφέλη;Ιντερνετ;20;11/11/2025;nefeli.vaspats@gmail.com;
Νεφέλη;Ενοίκιο;300;10/11/2025;nefeli.vaspats@gmail.com;
Θανάσης;Ρεύμα;20;10/12/2025;than@gmail.com;
Μαρία;Ιντερνετ;10;17/11/2025;maria@gmail.com;
Μαρία;Ενοίκιο;500;28/11/2025;maria@gmail.com;
Γιάννης;Ρεύμα;35;10/11/2025;john@gmail.com;
Γιάννης;Ιντερνετ;20;17/11/2025;john@gmail.com;
Γιάννης;Ενοίκιο;300;15/11/2025;john@gmail.com;
Γιάννης;Τηλέφωνο;10;17/12/2025;john@gmail.com;
Αρης;Ιντερνετ;14;23/11/2025;arisimp@gmail.com;
Αρης;Ενοίκιο;300;25/11/2025;arisimp@gmail.com;
Γιώργος;Ρεύμα;20;23/11/2025;george@gmail.com;
Γιώργος;Ιντερνετ;10;25/12/2025;george@gmail.com;
Γιώργος;Ενοίκιο;200;24/11/2025;george@gmail.com;
Αλεξης;Ρεύμα;40;22/12/2025;alex@gmail.com;
Άλκηστη;Τηλέφωνο;10;9/11/2025;alki@gmail.com;
Ιωάννα;Ρεύμα;20;25/11/2025;ioanna@gmail.com;
Ιωάννα;Ιντερνετ;10;16/11/2025;ioanna@gmail.com;
Γεωργία;Ρεύμα;40;8/11/2025;geo@gmail.com;
Γεωργία;Ιντερνετ;10;2/12/2025;geo@gmail.com;
Γεωργία;Ενοίκιο;300;5/12/2025;geo@gmail.com;
Κατερίνα;Τηλέφωνο;10;6/12/2025;kat@gmail.com;
Χρήστος;Ρεύμα;50;9/12/2025;hris@gmail.com;
Αλεξάνδρα;Τηλέφωνο;20;6/1/2026;alej@gmail.com;
